device_id,city
household_367070,Kraljevo
household_484387,Subotica
household_347283,Užice
household_992452,Niš
household_987566,Kraljevo
household_544846,Leskovac
household_524178,Čačak
household_872232,Beograd
household_127048,Pančevo
household_166269,Novi Sad
household_32480,Smederevo
household_400843,Novi Sad
household_609659,Novi Pazar
household_217938,Leskovac
household_817053,Šabac
household_840719,Čačak
household_971801,Kragujevac
household_593061,Kraljevo
household_98356,Užice
household_810824,Smederevo
household_51373,Beograd
household_983780,Subotica
household_194904,Novi Pazar
household_755675,Subotica
household_939867,Novi Pazar
household_758428,Smederevo
household_258018,Novi Pazar
household_146377,Pančevo
household_485361,Užice
household_605141,Šabac
household_8724,Kraljevo
household_734957,Niš
household_505964,Pančevo
household_864167,Šabac
household_645597,Pančevo
household_909717,Beograd
household_251923,Pančevo
household_861267,Pančevo
household_695003,Čačak
household_347719,Kraljevo
household_58453,Niš
household_827065,Subotica
household_752549,Novi Pazar
household_949449,Pančevo
household_156267,Vranje
household_756406,Subotica
household_886447,Leskovac
household_211307,Smederevo
household_511469,Vranje
household_278788,Beograd
household_536270,Leskovac
household_192959,Zrenjanin
household_931129,Šabac
household_224439,Leskovac
household_906940,Kragujevac
household_69868,Smederevo
household_573064,Novi Sad
household_606961,Smederevo
household_565535,Novi Sad
household_785229,Novi Pazar
household_525924,Zrenjanin
household_621755,Užice
household_514204,Niš
household_239416,Beograd
household_817752,Čačak
household_65427,Novi Sad
household_751046,Pančevo
household_594250,Šabac
household_429138,Beograd
household_222820,Šabac
household_478213,Čačak
household_187915,Smederevo
household_999329,Smederevo
household_378460,Šabac
household_467534,Subotica
household_124296,Pančevo
household_773151,Novi Pazar
household_232484,Zrenjanin
household_790279,Smederevo
household_263075,Kraljevo
household_979990,Šabac
household_8333,Zrenjanin
household_722888,Leskovac
household_701954,Smederevo
household_132845,Vranje
household_667764,Vranje
household_121923,Kraljevo
household_950261,Beograd
household_129217,Novi Pazar
household_241244,Novi Pazar
household_565037,Smederevo
household_397977,Kragujevac
household_312053,Vranje
household_522516,Vranje
household_944637,Leskovac
household_162607,Pančevo
household_328069,Kraljevo
household_823548,Pančevo
household_561971,Subotica
household_574762,Kragujevac
household_403215,Šabac
household_845421,Subotica
household_413294,Zrenjanin
household_898768,Leskovac
household_941963,Užice
household_681607,Zrenjanin
household_225193,Pančevo
household_106045,Novi Pazar
household_834869,Novi Pazar
household_473130,Zrenjanin
household_924181,Leskovac
household_437360,Leskovac
household_75465,Beograd
household_702392,Čačak
household_731533,Smederevo
household_94769,Niš
household_794785,Subotica
household_313531,Kraljevo
household_399231,Subotica
household_917635,Smederevo
household_991219,Smederevo
household_258903,Šabac
household_909538,Kraljevo
household_306088,Beograd
household_8291,Niš
household_552656,Čačak
household_537338,Pančevo
household_198065,Kraljevo
household_90201,Kragujevac
household_128915,Šabac
household_996615,Novi Pazar
household_840924,Niš
household_161370,Užice
household_975019,Leskovac
household_95105,Leskovac
household_622025,Čačak
household_706662,Beograd
household_245230,Kraljevo
household_302548,Beograd
household_348877,Užice
household_592043,Niš
household_201598,Leskovac
household_487802,Beograd
household_463927,Kragujevac
household_390633,Novi Sad
household_494424,Šabac
household_614399,Kraljevo
household_285844,Čačak
household_856278,Kraljevo
household_560371,Užice
household_163746,Zrenjanin
household_440623,Novi Pazar
household_311524,Leskovac
household_933838,Užice
household_936202,Leskovac
household_98262,Čačak
household_747622,Kragujevac
household_176763,Užice
household_594857,Smederevo
household_176312,Leskovac
household_276719,Užice
household_804348,Čačak
household_480892,Novi Sad
household_161620,Subotica
household_964369,Zrenjanin
household_671799,Leskovac
household_216834,Zrenjanin
household_670459,Novi Pazar
household_182295,Niš
household_482559,Užice
household_314903,Novi Pazar
household_966250,Kragujevac
household_742937,Niš
household_107388,Kragujevac
household_916886,Šabac
household_380951,Subotica
household_639977,Zrenjanin
household_805139,Kragujevac
household_445215,Beograd
household_190593,Kraljevo
household_325379,Subotica
household_405865,Smederevo
household_592437,Smederevo
household_577115,Zrenjanin
household_5487,Vranje
household_864426,Beograd
household_477182,Niš
household_808930,Užice
household_380079,Smederevo
household_415982,Kragujevac
household_97431,Leskovac
household_823245,Vranje
household_2333,Smederevo
household_868219,Kragujevac
household_851357,Kragujevac
household_20781,Niš
household_826623,Šabac
household_532955,Zrenjanin
household_142509,Kraljevo
household_760828,Užice
household_889584,Beograd
household_223010,Subotica
household_933929,Zrenjanin
household_460625,Subotica
household_747572,Novi Pazar
household_722282,Novi Sad
household_573682,Vranje
household_594010,Kragujevac
household_334194,Leskovac
household_150924,Leskovac
household_48698,Niš
household_863351,Kragujevac
household_588675,Leskovac
household_21151,Kraljevo
household_169953,Šabac
household_932172,Užice
household_954298,Kragujevac
household_147883,Novi Pazar
household_595137,Leskovac
household_536007,Subotica
household_860986,Užice
household_752940,Subotica
household_210840,Šabac
household_179373,Užice
household_467568,Užice
household_908782,Užice
household_267077,Pančevo
household_685379,Subotica
household_515010,Smederevo
household_148097,Užice
household_24855,Užice
household_77059,Zrenjanin
household_389105,Užice
household_726746,Vranje
household_345599,Novi Pazar
household_713140,Subotica
household_807348,Šabac
household_270916,Čačak
household_202547,Novi Sad
household_183523,Užice
household_803343,Čačak
household_268431,Čačak
household_806689,Pančevo
household_176684,Šabac
household_386094,Kraljevo
household_632109,Vranje
household_679492,Šabac
household_777032,Šabac
household_46303,Leskovac
household_767066,Kragujevac
household_212433,Niš
household_851303,Čačak
household_904752,Pančevo
household_772786,Čačak
household_273678,Kraljevo
household_804283,Kraljevo
household_600688,Kragujevac
household_695193,Pančevo
household_497965,Vranje
household_974276,Čačak
household_958164,Čačak
household_377231,Kragujevac
household_158230,Smederevo
household_530944,Beograd
household_943346,Šabac
household_219876,Vranje
household_735706,Čačak
household_782946,Subotica
household_28705,Užice
household_632161,Vranje
household_350361,Smederevo
household_604639,Beograd
household_760410,Beograd
household_388145,Novi Pazar
household_85028,Niš
household_7602,Beograd
household_460156,Zrenjanin
household_531278,Novi Pazar
household_624193,Subotica
household_907396,Vranje
household_546454,Čačak
household_844803,Zrenjanin
household_808472,Leskovac
household_148587,Vranje
household_618079,Leskovac
household_277731,Novi Sad
household_761353,Leskovac
household_134847,Šabac
household_708520,Subotica
household_718528,Zrenjanin
household_813921,Pančevo
household_383282,Novi Pazar
household_205515,Zrenjanin
household_91935,Novi Pazar
household_317030,Užice
household_636438,Šabac
household_73256,Kraljevo
household_161166,Šabac
household_694344,Kragujevac
household_652369,Zrenjanin
household_691177,Čačak
household_216770,Novi Pazar
household_160285,Čačak
household_626037,Pančevo
household_292960,Šabac
household_868189,Beograd
household_23910,Beograd
household_351219,Zrenjanin
household_581754,Niš
household_540139,Kragujevac
household_903835,Šabac
household_459511,Užice
household_501873,Užice
household_300943,Novi Sad
household_858509,Čačak
household_696276,Novi Sad
household_822687,Pančevo
household_984145,Niš
household_279726,Zrenjanin
household_917016,Kragujevac
household_478675,Zrenjanin
household_257484,Pančevo
household_132973,Leskovac
household_2011,Subotica
household_971444,Vranje
household_345425,Kragujevac
household_695327,Leskovac
household_64450,Leskovac
household_522423,Kraljevo
household_863179,Subotica
household_433714,Kragujevac
household_999748,Beograd
household_223265,Zrenjanin
household_869142,Leskovac
household_529590,Kragujevac
household_303810,Niš
household_748145,Zrenjanin
household_132936,Pančevo
household_600207,Novi Sad
household_440109,Smederevo
household_541627,Smederevo
household_935886,Novi Sad
household_546204,Novi Pazar
household_27180,Kraljevo
household_248225,Novi Pazar
household_744389,Novi Sad
household_238061,Kraljevo
household_363706,Čačak
household_525910,Zrenjanin
household_690170,Subotica
household_11213,Zrenjanin
household_697110,Pančevo
household_127302,Beograd
household_267909,Smederevo
household_614311,Niš
household_949486,Niš
household_78807,Kragujevac
household_699472,Kraljevo
household_627442,Šabac
household_180194,Pančevo
household_320138,Novi Sad
household_876191,Šabac
household_708118,Novi Pazar
household_313862,Niš
household_240187,Zrenjanin
household_1815,Zrenjanin
household_844432,Čačak
household_802816,Kraljevo
household_426693,Leskovac
household_961018,Kragujevac
household_133604,Čačak
household_120209,Zrenjanin
household_361189,Leskovac
household_572817,Smederevo
household_283117,Šabac
household_758814,Užice
household_959699,Užice
household_749580,Subotica
household_737306,Šabac
household_374794,Čačak
household_914665,Beograd
household_461149,Kraljevo
household_107015,Kragujevac
household_987608,Zrenjanin
household_638244,Niš
household_919170,Subotica
household_12207,Novi Sad
household_943711,Smederevo
household_832858,Kraljevo
household_16563,Šabac
household_689489,Pančevo
household_149731,Užice
household_500093,Beograd
household_989735,Leskovac
household_954360,Kragujevac
household_600517,Kragujevac
household_288055,Subotica
household_3030,Subotica
household_486004,Užice
household_660951,Subotica
household_876877,Zrenjanin
household_808799,Pančevo
household_334388,Zrenjanin
household_833488,Niš
household_619260,Pančevo
household_174975,Zrenjanin
household_805512,Pančevo
household_381700,Novi Pazar
household_248287,Leskovac
household_972463,Novi Sad
household_795324,Kragujevac
household_168733,Čačak
household_576599,Smederevo
household_948681,Vranje
household_121118,Beograd
household_93305,Pančevo
household_14854,Leskovac
household_406939,Zrenjanin
household_121837,Vranje
household_646022,Kraljevo
household_69003,Leskovac
household_739675,Šabac
household_657151,Pančevo
household_718724,Beograd
household_30287,Vranje
household_314234,Subotica
household_343446,Subotica
household_532661,Užice
household_616959,Čačak
household_774264,Novi Pazar
household_890815,Subotica
household_782951,Subotica
household_319528,Užice
household_533883,Pančevo
household_56928,Pančevo
household_262849,Niš
household_388467,Novi Sad
household_804386,Šabac
household_237260,Niš
household_618015,Kraljevo
household_639574,Niš
household_680180,Vranje
household_443618,Beograd
household_432282,Zrenjanin
household_53874,Šabac
household_651043,Vranje
household_700417,Beograd
household_365619,Smederevo
household_667841,Subotica
household_630719,Novi Sad
household_144842,Subotica
household_586538,Subotica
household_926972,Pančevo
household_696682,Kraljevo
household_215639,Niš
household_285437,Subotica
household_376456,Smederevo
household_539299,Novi Pazar
household_948507,Niš
household_236483,Novi Pazar
household_989682,Subotica
household_686100,Novi Pazar
household_728932,Pančevo
household_389853,Zrenjanin
household_926550,Vranje
household_305619,Kragujevac
household_890785,Leskovac
household_40478,Leskovac
household_403448,Šabac
household_941303,Smederevo
household_834420,Smederevo
household_577381,Užice
household_802827,Kraljevo
household_420092,Zrenjanin
household_343435,Užice
household_766320,Niš
household_816231,Novi Pazar
household_263365,Novi Sad
household_442873,Beograd
household_472342,Šabac
household_71160,Niš
household_994151,Užice
household_801976,Leskovac
household_169811,Niš
household_498946,Kraljevo
household_587597,Užice
household_128244,Novi Sad
household_815723,Subotica
household_230877,Leskovac
household_815110,Smederevo
household_833324,Niš
household_900412,Beograd
household_654880,Subotica
household_648693,Leskovac
household_133266,Novi Pazar
household_216381,Kraljevo
household_629227,Niš
household_138521,Užice
household_316010,Niš
household_74085,Novi Sad
household_935543,Pančevo
household_356495,Zrenjanin
household_110603,Zrenjanin
household_375107,Subotica
household_735721,Čačak
household_963421,Beograd
household_850378,Užice
household_15439,Beograd
household_753580,Šabac
household_928266,Subotica
household_754808,Zrenjanin
household_178311,Novi Pazar
household_228546,Pančevo
household_799851,Zrenjanin
household_58759,Čačak
household_426614,Leskovac
household_594222,Užice
household_703278,Subotica
household_658612,Novi Sad
household_554436,Novi Pazar
household_509513,Subotica
household_932050,Niš
household_93954,Niš
household_236644,Vranje
household_444799,Užice
household_25658,Beograd
household_125959,Novi Sad
household_683619,Novi Sad
household_182841,Beograd
household_744560,Subotica
household_268196,Čačak
household_397797,Vranje
household_996845,Čačak
household_865482,Zrenjanin
household_839050,Zrenjanin
household_294902,Pančevo
household_405721,Pančevo
household_93880,Vranje
household_782607,Niš
household_142299,Novi Pazar
household_805694,Smederevo
household_193486,Kragujevac
household_914113,Pančevo
household_593794,Niš
household_236050,Vranje
household_865418,Zrenjanin
household_350418,Niš
household_640376,Novi Pazar
household_547199,Niš
household_276253,Niš
household_646087,Leskovac
household_446201,Užice
household_488134,Užice
household_355939,Novi Pazar
household_9107,Novi Sad
household_945667,Leskovac
household_217306,Pančevo
household_669939,Subotica
household_622134,Beograd
household_482337,Beograd
household_149170,Novi Pazar
household_58609,Užice
household_620432,Leskovac
household_237797,Niš
household_122305,Smederevo
household_434826,Novi Sad
household_152639,Kraljevo
household_482370,Zrenjanin
household_843452,Užice
household_858759,Novi Sad
household_205530,Leskovac
household_988813,Kragujevac
household_736653,Leskovac
household_989859,Subotica
household_203794,Kragujevac
household_598466,Beograd
household_67995,Beograd
household_138163,Zrenjanin
household_836668,Niš
household_40201,Kraljevo
household_106221,Beograd
household_229962,Čačak
household_197530,Smederevo
household_326205,Šabac
household_290763,Leskovac
household_924051,Novi Sad
household_576345,Niš
household_21485,Subotica
household_244986,Kragujevac
household_187849,Beograd
household_200844,Kraljevo
household_126872,Vranje
household_134323,Pančevo
household_405246,Kraljevo
household_698587,Niš
household_278682,Vranje
household_583272,Užice
household_368285,Subotica
household_123431,Smederevo
household_603064,Pančevo
household_650746,Pančevo
household_497694,Šabac
household_353407,Leskovac
household_402735,Leskovac
household_463479,Novi Sad
household_828616,Kragujevac
household_273117,Leskovac
household_625550,Vranje
household_92182,Užice
household_718906,Niš
household_681311,Novi Pazar
household_191399,Užice
household_273885,Subotica
household_867764,Pančevo
household_45459,Niš
household_313832,Kragujevac
household_304895,Niš
household_64310,Subotica
household_35693,Čačak
household_29331,Novi Pazar
household_384133,Leskovac
household_497556,Kraljevo
household_367628,Subotica
household_106377,Užice
household_151658,Kragujevac
household_178811,Smederevo
household_871656,Subotica
household_265556,Vranje
household_382447,Beograd
household_252595,Leskovac
household_242448,Pančevo
household_906,Čačak
household_285582,Vranje
household_45974,Leskovac
household_206712,Zrenjanin
household_826081,Subotica
household_203862,Novi Sad
household_43959,Pančevo
household_746895,Zrenjanin
household_101573,Novi Pazar
household_857973,Beograd
household_198982,Pančevo
household_395721,Subotica
household_924822,Kraljevo
household_117308,Niš
household_106102,Beograd
household_316482,Beograd
household_400499,Subotica
household_247491,Vranje
household_523220,Niš
household_3034,Subotica
household_68987,Subotica
household_627955,Niš
household_603796,Subotica
household_187678,Kraljevo
household_112335,Novi Pazar
household_390521,Subotica
household_467884,Smederevo
household_924687,Leskovac
household_559985,Kragujevac
household_374248,Zrenjanin
household_544426,Novi Sad
household_742922,Beograd
household_602392,Beograd
household_70645,Pančevo
household_674143,Smederevo
household_268495,Beograd
household_276511,Užice
household_998604,Pančevo
household_59340,Čačak
household_917279,Šabac
household_566122,Subotica
household_977321,Novi Pazar
household_97425,Leskovac
household_408953,Leskovac
household_151644,Šabac
household_445285,Užice
household_537201,Užice
household_623740,Smederevo
household_159696,Užice
household_424992,Kraljevo
household_388367,Kraljevo
household_728139,Beograd
household_628860,Vranje
household_758562,Kragujevac
household_996001,Šabac
household_143229,Užice
household_498416,Čačak
household_311483,Kraljevo
household_541550,Leskovac
household_292569,Čačak
household_653093,Šabac
household_796619,Kragujevac
household_171289,Šabac
household_189469,Beograd
household_39371,Pančevo
household_991123,Užice
household_747830,Pančevo
household_767882,Kragujevac
household_559833,Kraljevo
household_511250,Niš
household_216995,Pančevo
household_678210,Kraljevo
household_23992,Pančevo
household_896200,Čačak
household_969257,Užice
household_335726,Čačak
household_695968,Beograd
household_536857,Niš
household_265488,Kragujevac
household_332485,Pančevo
household_428502,Niš
household_129798,Niš
household_115223,Beograd
household_255346,Subotica
household_927513,Beograd
household_955482,Novi Sad
household_727811,Subotica
household_140477,Kragujevac
household_121770,Kragujevac
household_747530,Kraljevo
household_46459,Niš
household_760977,Kragujevac
household_348929,Šabac
household_186674,Niš
household_964468,Užice
household_96251,Niš
household_998730,Leskovac
household_787511,Leskovac
household_553398,Pančevo
household_980113,Novi Sad
household_593129,Novi Pazar
household_528730,Smederevo
household_278627,Niš
household_111334,Leskovac
household_515474,Novi Sad
household_820362,Čačak
household_746017,Leskovac
household_541056,Užice
household_357588,Novi Pazar
household_432566,Šabac
household_5250,Kragujevac
household_638091,Šabac
household_668096,Pančevo
household_46316,Užice
household_448908,Novi Sad
household_104462,Smederevo
household_110773,Smederevo
household_892662,Niš
household_73262,Kraljevo
household_277218,Čačak
household_953324,Užice
household_728196,Kragujevac
household_848001,Pančevo
household_338452,Subotica
household_16813,Kraljevo
household_638257,Užice
household_483508,Leskovac
household_588078,Čačak
household_420318,Užice
household_132872,Novi Sad
household_781853,Kraljevo
household_431017,Užice
household_76198,Pančevo
household_512546,Novi Pazar
household_602365,Šabac
household_226925,Kraljevo
household_674135,Čačak
household_296282,Pančevo
household_230787,Novi Pazar
household_971231,Zrenjanin
